Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming,sentiment
2025-01-18 07:24:49,all live,1,Knp skrg potongan nya bnyak bgtt,Knp skrg potongan nya bnyak bgtt,knp skrg potongan nya bnyak bgtt,kenapa sekarang potongan ya banyak banget,"['kenapa', 'sekarang', 'potongan', 'ya', 'banyak', 'banget']","['potongan', 'ya', 'banget']",potong ya banget,Negatif
2025-01-18 07:10:16,agus fudholi,5,"pelayanan cepat, Tanggap terhadap pengaduan",pelayanan cepat Tanggap terhadap pengaduan,pelayanan cepat tanggap terhadap pengaduan,pelayanan cepat tanggap terhadap pengaduan,"['pelayanan', 'cepat', 'tanggap', 'terhadap', 'pengaduan']","['pelayanan', 'cepat', 'tanggap', 'pengaduan']",layan cepat tanggap adu,Positif
2025-01-18 06:27:33,Sasa Sasa,5,Gim,Gim,gim,gim,['gim'],['gim'],gim,Negatif
2025-01-18 06:19:20,rahayu 158,4,Baru nyadar biaya bulanan admin nya besar di banding bank lain..di potong otomatis kadang tgl 20 kadang tgl 17 ..ya terasa juga uang hbs oleh biaya bulanan..apa lg KLO nabung untuk simpanan..hbs oleh ADM bulanan aj..14000 x setahun Uda berapa??😜😜,Baru nyadar biaya bulanan admin nya besar di banding bank laindi potong otomatis kadang tgl  kadang tgl  ya terasa juga uang hbs oleh biaya bulananapa lg KLO nabung untuk simpananhbs oleh ADM bulanan aj x setahun Uda berapa,baru nyadar biaya bulanan admin nya besar di banding bank laindi potong otomatis kadang tgl  kadang tgl  ya terasa juga uang hbs oleh biaya bulananapa lg klo nabung untuk simpananhbs oleh adm bulanan aj x setahun uda berapa,baru menyadar biaya bulanan admin ya besar di banding bank laindi potong otomatis kadang tanggal kadang tanggal ya terasa juga uang habis oleh biaya bulananapa lagi kalau nabung untuk simpananhbs oleh adm bulanan saja kali setahun sudah berapa,"['baru', 'menyadar', 'biaya', 'bulanan', 'admin', 'ya', 'besar', 'di', 'banding', 'bank', 'laindi', 'potong', 'otomatis', 'kadang', 'tanggal', 'kadang', 'tanggal', 'ya', 'terasa', 'juga', 'uang', 'habis', 'oleh', 'biaya', 'bulananapa', 'lagi', 'kalau', 'nabung', 'untuk', 'simpananhbs', 'oleh', 'adm', 'bulanan', 'saja', 'kali', 'setahun', 'sudah', 'berapa']","['menyadar', 'biaya', 'bulanan', 'admin', 'ya', 'banding', 'bank', 'laindi', 'potong', 'otomatis', 'kadang', 'tanggal', 'kadang', 'tanggal', 'ya', 'uang', 'habis', 'biaya', 'bulananapa', 'nabung', 'simpananhbs', 'adm', 'bulanan', 'kali', 'setahun']",sadar biaya bulan admin ya banding bank laindi potong otomatis kadang tanggal kadang tanggal ya uang habis biaya bulananapa nabung simpananhbs adm bulan kali tahun,Positif
2025-01-18 05:30:36,Mama Bilal jalal,3,"Aku kasih bintang 3 dulu, soalnya aku pakai apk ini kecewa bisa data saya dicuri dan uang saya hilang, mohon perbaikannya",Aku kasih bintang  dulu soalnya aku pakai apk ini kecewa bisa data saya dicuri dan uang saya hilang mohon perbaikannya,aku kasih bintang  dulu soalnya aku pakai apk ini kecewa bisa data saya dicuri dan uang saya hilang mohon perbaikannya,aku kasih bintang dulu soalnya aku pakai apk ini kecewa bisa data saya dicuri dan uang saya hilang mohon perbaikannya,"['aku', 'kasih', 'bintang', 'dulu', 'soalnya', 'aku', 'pakai', 'apk', 'ini', 'kecewa', 'bisa', 'data', 'saya', 'dicuri', 'dan', 'uang', 'saya', 'hilang', 'mohon', 'perbaikannya']","['kasih', 'bintang', 'pakai', 'apk', 'kecewa', 'data', 'dicuri', 'uang', 'hilang', 'mohon', 'perbaikannya']",kasih bintang pakai apk kecewa data curi uang hilang mohon baik,Negatif
2025-01-18 05:26:34,Rahmad Hafid,1,Biaya admin nya 10rb lumayan juga,Biaya admin nya rb lumayan juga,biaya admin nya rb lumayan juga,biaya admin ya ribu lumayan juga,"['biaya', 'admin', 'ya', 'ribu', 'lumayan', 'juga']","['biaya', 'admin', 'ya', 'ribu', 'lumayan']",biaya admin ya ribu lumayan,Positif
2025-01-18 03:35:39,Mukhamad Yusuf,1,bank terjelek menurut saya saldo berkurang sendiri apa gak tau ya kalau kita butuh meskipun 1 perak pun berkurang nya 10k lagi,bank terjelek menurut saya saldo berkurang sendiri apa gak tau ya kalau kita butuh meskipun  perak pun berkurang nya k lagi,bank terjelek menurut saya saldo berkurang sendiri apa gak tau ya kalau kita butuh meskipun  perak pun berkurang nya k lagi,bank terjelek menurut saya saldo berkurang sendiri apa tidak tau ya kalau kita butuh meskipun perak pun berkurang ya ke lagi,"['bank', 'terjelek', 'menurut', 'saya', 'saldo', 'berkurang', 'sendiri', 'apa', 'tidak', 'tau', 'ya', 'kalau', 'kita', 'butuh', 'meskipun', 'perak', 'pun', 'berkurang', 'ya', 'ke', 'lagi']","['bank', 'terjelek', 'saldo', 'berkurang', 'tau', 'ya', 'butuh', 'perak', 'berkurang', 'ya']",bank jelek saldo kurang tau ya butuh perak kurang ya,Negatif
2025-01-18 03:32:35,Christ Julyandre,2,Udah mulai ngga nyaman pakai BCA Keserinan Foreclose,Udah mulai ngga nyaman pakai BCA Keserinan Foreclose,udah mulai ngga nyaman pakai bca keserinan foreclose,sudah mulai tidak nyaman pakai baca keserinan foreclose,"['sudah', 'mulai', 'tidak', 'nyaman', 'pakai', 'baca', 'keserinan', 'foreclose']","['nyaman', 'pakai', 'baca', 'keserinan', 'foreclose']",nyaman pakai baca keserinan foreclose,Positif
2025-01-18 02:57:03,UMRSYHD,1,Tolong lah uang saya kalo ada di sini ilang terus 50ribu,Tolong lah uang saya kalo ada di sini ilang terus ribu,tolong lah uang saya kalo ada di sini ilang terus ribu,tolong lah uang saya kalau ada di sini hilang terus ribu,"['tolong', 'lah', 'uang', 'saya', 'kalau', 'ada', 'di', 'sini', 'hilang', 'terus', 'ribu']","['tolong', 'uang', 'hilang', 'ribu']",tolong uang hilang ribu,Negatif
2025-01-18 02:43:23,Iyan karyanto,5,Buka aplikasi y klw bisa fingerprint juga.,Buka aplikasi y klw bisa fingerprint juga,buka aplikasi y klw bisa fingerprint juga,buka aplikasi ya kalau bisa fingerprint juga,"['buka', 'aplikasi', 'ya', 'kalau', 'bisa', 'fingerprint', 'juga']","['buka', 'aplikasi', 'ya', 'fingerprint']",buka aplikasi ya fingerprint,Negatif
2025-01-18 02:17:44,Sandi achmad suhaemi Sandi,5,Mantaffff,Mantaffff,mantaffff,mantaffff,['mantaffff'],['mantaffff'],mantaffff,Negatif
2025-01-18 01:40:48,M. HARUN,1,Kenapaya kok tambah parah bca saldo saya sedot banyak sekali padahal setiap transaksi kan sudah kepotong Mau ganti bank lain yang pelayanannya enak,Kenapaya kok tambah parah bca saldo saya sedot banyak sekali padahal setiap transaksi kan sudah kepotong Mau ganti bank lain yang pelayanannya enak,kenapaya kok tambah parah bca saldo saya sedot banyak sekali padahal setiap transaksi kan sudah kepotong mau ganti bank lain yang pelayanannya enak,kenapaya kok tambah parah baca saldo saya sedot banyak sekali padahal setiap transaksi kan sudah kepotong mau ganti bank lain yang pelayanannya enak,"['kenapaya', 'kok', 'tambah', 'parah', 'baca', 'saldo', 'saya', 'sedot', 'banyak', 'sekali', 'padahal', 'setiap', 'transaksi', 'kan', 'sudah', 'kepotong', 'mau', 'ganti', 'bank', 'lain', 'yang', 'pelayanannya', 'enak']","['kenapaya', 'parah', 'baca', 'saldo', 'sedot', 'transaksi', 'kepotong', 'ganti', 'bank', 'pelayanannya', 'enak']",kenapaya parah baca saldo sedot transaksi potong ganti bank layan enak,Negatif
2025-01-18 01:18:13,Sugandi Art,5,semoga bermanfaat,semoga bermanfaat,semoga bermanfaat,semoga bermanfaat,"['semoga', 'bermanfaat']","['semoga', 'bermanfaat']",moga manfaat,Positif
2025-01-18 01:10:52,Nadiasafitri Safitri,1,Jangan pakai bca saya setiap transfer ke bca selalu uangnya berkurang padahal saya tidak punya kredit aktif.,Jangan pakai bca saya setiap transfer ke bca selalu uangnya berkurang padahal saya tidak punya kredit aktif,jangan pakai bca saya setiap transfer ke bca selalu uangnya berkurang padahal saya tidak punya kredit aktif,jangan pakai baca saya setiap transfer ke baca selalu uangnya berkurang padahal saya tidak punya kredit aktif,"['jangan', 'pakai', 'baca', 'saya', 'setiap', 'transfer', 'ke', 'baca', 'selalu', 'uangnya', 'berkurang', 'padahal', 'saya', 'tidak', 'punya', 'kredit', 'aktif']","['pakai', 'baca', 'transfer', 'baca', 'uangnya', 'berkurang', 'kredit', 'aktif']",pakai baca transfer baca uang kurang kredit aktif,Negatif
2025-01-18 00:45:35,PUJI ASTUTIK,5,"Tolong dong kalau ada potongan admin setiap bulan muncul di notifikasi biar tau saldo kepotong buat apa,ini notifikasi kosong gk ada apa² tp saldo berkurang sampai 14k Kalau ada notifikasi kan kita tau gk tiba² kepotong gitu aja",Tolong dong kalau ada potongan admin setiap bulan muncul di notifikasi biar tau saldo kepotong buat apaini notifikasi kosong gk ada apa tp saldo berkurang sampai k Kalau ada notifikasi kan kita tau gk tiba kepotong gitu aja,tolong dong kalau ada potongan admin setiap bulan muncul di notifikasi biar tau saldo kepotong buat apaini notifikasi kosong gk ada apa tp saldo berkurang sampai k kalau ada notifikasi kan kita tau gk tiba kepotong gitu aja,tolong dong kalau ada potongan admin setiap bulan muncul di notifikasi biar tau saldo kepotong buat apaini notifikasi kosong tidak ada apa tapi saldo berkurang sampai ke kalau ada notifikasi kan kita tau tidak tiba kepotong begitu saja,"['tolong', 'dong', 'kalau', 'ada', 'potongan', 'admin', 'setiap', 'bulan', 'muncul', 'di', 'notifikasi', 'biar', 'tau', 'saldo', 'kepotong', 'buat', 'apaini', 'notifikasi', 'kosong', 'tidak', 'ada', 'apa', 'tapi', 'saldo', 'berkurang', 'sampai', 'ke', 'kalau', 'ada', 'notifikasi', 'kan', 'kita', 'tau', 'tidak', 'tiba', 'kepotong', 'begitu', 'saja']","['tolong', 'potongan', 'admin', 'muncul', 'notifikasi', 'biar', 'tau', 'saldo', 'kepotong', 'apaini', 'notifikasi', 'kosong', 'saldo', 'berkurang', 'notifikasi', 'tau', 'kepotong']",tolong potong admin muncul notifikasi biar tau saldo potong apaini notifikasi kosong saldo kurang notifikasi tau potong,Negatif
2025-01-18 00:18:38,Arrafi Ramadhany,1,"disuruh update malah verif ulang, dulu pas ke nomer 89888 masi bisa, setelah update verifnya ke nomer gajelas ket: null. ""tidak dapat membalas kode singkat ini"". lah trus gimana verifikasinya -_-",disuruh update malah verif ulang dulu pas ke nomer  masi bisa setelah update verifnya ke nomer gajelas ket null tidak dapat membalas kode singkat ini lah trus gimana verifikasinya ,disuruh update malah verif ulang dulu pas ke nomer  masi bisa setelah update verifnya ke nomer gajelas ket null tidak dapat membalas kode singkat ini lah trus gimana verifikasinya ,disuruh update malah verif ulang dulu pas ke nomer masih bisa setelah update verifnya ke nomer ket null tidak dapat membalas kode singkat ini lah terus bagaimana verifikasinya,"['disuruh', 'update', 'malah', 'verif', 'ulang', 'dulu', 'pas', 'ke', 'nomer', 'masih', 'bisa', 'setelah', 'update', 'verifnya', 'ke', 'nomer', 'ket', 'null', 'tidak', 'dapat', 'membalas', 'kode', 'singkat', 'ini', 'lah', 'terus', 'bagaimana', 'verifikasinya']","['disuruh', 'update', 'verif', 'ulang', 'pas', 'nomer', 'update', 'verifnya', 'nomer', 'ket', 'null', 'membalas', 'kode', 'singkat', 'verifikasinya']",suruh update verif ulang pas nomer update verifnya nomer ket null balas kode singkat verifikasi,Negatif
2025-01-17 23:54:55,Komang Sekarini,3,"Kenapa keyboard bca sekarang gak bagus lagi,abis ketik emoji langsung tutup aplikasi nya.jadi kurang nyaman skarang pakek keyboard bca nya.tolong di perbaiki lagi...trimakasih",Kenapa keyboard bca sekarang gak bagus lagiabis ketik emoji langsung tutup aplikasi nyajadi kurang nyaman skarang pakek keyboard bca nyatolong di perbaiki lagitrimakasih,kenapa keyboard bca sekarang gak bagus lagiabis ketik emoji langsung tutup aplikasi nyajadi kurang nyaman skarang pakek keyboard bca nyatolong di perbaiki lagitrimakasih,kenapa keyboard baca sekarang tidak bagus lagiabis ketik emoji langsung tutup aplikasi nyajadi kurang nyaman sekarang pakai keyboard baca nyatolong di perbaiki lagitrimakasih,"['kenapa', 'keyboard', 'baca', 'sekarang', 'tidak', 'bagus', 'lagiabis', 'ketik', 'emoji', 'langsung', 'tutup', 'aplikasi', 'nyajadi', 'kurang', 'nyaman', 'sekarang', 'pakai', 'keyboard', 'baca', 'nyatolong', 'di', 'perbaiki', 'lagitrimakasih']","['keyboard', 'baca', 'bagus', 'lagiabis', 'ketik', 'emoji', 'langsung', 'tutup', 'aplikasi', 'nyajadi', 'nyaman', 'pakai', 'keyboard', 'baca', 'nyatolong', 'perbaiki', 'lagitrimakasih']",keyboard baca bagus lagiabis ketik emoji langsung tutup aplikasi nyajadi nyaman pakai keyboard baca nyatolong baik lagitrimakasih,Negatif
2025-01-17 22:44:36,suka*suka men,5,"halo BCA... dari segi keamanan,,pelayanan semua nya sudah bagus banget apakah tidak ada cita2 membuat inovasi atm setor uang koin tanpa harus datang ke bank hanya saran dan masukan buat BCA terima kasih BCA",halo BCA dari segi keamananpelayanan semua nya sudah bagus banget apakah tidak ada cita membuat inovasi atm setor uang koin tanpa harus datang ke bank hanya saran dan masukan buat BCA terima kasih BCA,halo bca dari segi keamananpelayanan semua nya sudah bagus banget apakah tidak ada cita membuat inovasi atm setor uang koin tanpa harus datang ke bank hanya saran dan masukan buat bca terima kasih bca,halo baca dari segi keamananpelayanan semua ya sudah bagus banget apakah tidak ada cita membuat inovasi atm setor uang koin tanpa harus datang ke bank hanya saran dan masukan buat baca terima kasih baca,"['halo', 'baca', 'dari', 'segi', 'keamananpelayanan', 'semua', 'ya', 'sudah', 'bagus', 'banget', 'apakah', 'tidak', 'ada', 'cita', 'membuat', 'inovasi', 'atm', 'setor', 'uang', 'koin', 'tanpa', 'harus', 'datang', 'ke', 'bank', 'hanya', 'saran', 'dan', 'masukan', 'buat', 'baca', 'terima', 'kasih', 'baca']","['halo', 'baca', 'segi', 'keamananpelayanan', 'ya', 'bagus', 'banget', 'cita', 'inovasi', 'atm', 'setor', 'uang', 'koin', 'bank', 'saran', 'masukan', 'baca', 'terima', 'kasih', 'baca']",halo baca segi keamananpelayanan ya bagus banget cita inovasi atm setor uang koin bank saran masuk baca terima kasih baca,Negatif
2025-01-17 20:01:30,Ricky Zico,5,"selama ini tidak pernah ada kendala, pertahankan terus stabilitas system nya",selama ini tidak pernah ada kendala pertahankan terus stabilitas system nya,selama ini tidak pernah ada kendala pertahankan terus stabilitas system nya,selama ini tidak pernah ada kendala pertahankan terus stabilitas system ya,"['selama', 'ini', 'tidak', 'pernah', 'ada', 'kendala', 'pertahankan', 'terus', 'stabilitas', 'system', 'ya']","['kendala', 'pertahankan', 'stabilitas', 'system', 'ya']",kendala tahan stabilitas system ya,Positif
2025-01-17 18:18:43,Agung Widodo,1,Tolong ini ada apa sama bca setelah di update selalu aja masalah di aplikasinya. Skrg malah sim card tidak terdeteksi Tolong dong management bca ini diperbaiki,Tolong ini ada apa sama bca setelah di update selalu aja masalah di aplikasinya Skrg malah sim card tidak terdeteksi Tolong dong management bca ini diperbaiki,tolong ini ada apa sama bca setelah di update selalu aja masalah di aplikasinya skrg malah sim card tidak terdeteksi tolong dong management bca ini diperbaiki,tolong ini ada apa sama baca setelah di update selalu saja masalah di aplikasinya sekarang malah sim card tidak terdeteksi tolong dong management baca ini diperbaiki,"['tolong', 'ini', 'ada', 'apa', 'sama', 'baca', 'setelah', 'di', 'update', 'selalu', 'saja', 'masalah', 'di', 'aplikasinya', 'sekarang', 'malah', 'sim', 'card', 'tidak', 'terdeteksi', 'tolong', 'dong', 'management', 'baca', 'ini', 'diperbaiki']","['tolong', 'baca', 'update', 'aplikasinya', 'sim', 'card', 'terdeteksi', 'tolong', 'management', 'baca', 'diperbaiki']",tolong baca update aplikasi sim card deteksi tolong management baca baik,Negatif
2025-01-17 16:42:05,Nasoka Oka,5,Jos,Jos,jos,jos,['jos'],['jos'],jos,Positif
2025-01-17 16:33:03,Yudi Herwanto,1,"gak bisa hapus inbox sekaligus,sangat di sayangkan,repot sekali,ribet",gak bisa hapus inbox sekaligussangat di sayangkanrepot sekaliribet,gak bisa hapus inbox sekaligussangat di sayangkanrepot sekaliribet,tidak bisa hapus inbox sekaligussangat di sayangkanrepot sekaliribet,"['tidak', 'bisa', 'hapus', 'inbox', 'sekaligussangat', 'di', 'sayangkanrepot', 'sekaliribet']","['hapus', 'inbox', 'sekaligussangat', 'sayangkanrepot', 'sekaliribet']",hapus inbox sekaligussangat sayangkanrepot sekaliribet,Negatif
2025-01-17 14:44:33,Aba Pratama,4,"Mau tanya potongan adminnya setia bulan brp sih, kok selalunya dipotong lebih dari 20 rb",Mau tanya potongan adminnya setia bulan brp sih kok selalunya dipotong lebih dari  rb,mau tanya potongan adminnya setia bulan brp sih kok selalunya dipotong lebih dari  rb,mau tanya potongan adminnya setia bulan berapa sih kok selalunya dipotong lebih dari ribu,"['mau', 'tanya', 'potongan', 'adminnya', 'setia', 'bulan', 'berapa', 'sih', 'kok', 'selalunya', 'dipotong', 'lebih', 'dari', 'ribu']","['potongan', 'adminnya', 'setia', 'sih', 'selalunya', 'dipotong', 'ribu']",potong adminnya setia sih selalu potong ribu,Negatif
2025-01-17 14:19:45,Syafrina Akmal,5,Good banget,Good banget,good banget,good banget,"['good', 'banget']","['good', 'banget']",good banget,Positif
2025-01-17 13:31:12,anaklanang,5,Good job,Good job,good job,good job,"['good', 'job']","['good', 'job']",good job,Negatif
2025-01-17 13:23:08,Sam Wan,2,Kecewa bnget uda di donlod yg terbaru malah gak bs,Kecewa bnget uda di donlod yg terbaru malah gak bs,kecewa bnget uda di donlod yg terbaru malah gak bs,kecewa banget sudah di donlod yang terbaru malah tidak bisa,"['kecewa', 'banget', 'sudah', 'di', 'donlod', 'yang', 'terbaru', 'malah', 'tidak', 'bisa']","['kecewa', 'banget', 'donlod', 'terbaru']",kecewa banget donlod baru,Positif
2025-01-17 13:20:19,Smart 8,1,Bca mobile sangat ribet dan tidak bersahabat dengan lampu indikator merah nya,Bca mobile sangat ribet dan tidak bersahabat dengan lampu indikator merah nya,bca mobile sangat ribet dan tidak bersahabat dengan lampu indikator merah nya,baca mobile sangat ribet dan tidak bersahabat dengan lampu indikator merah ya,"['baca', 'mobile', 'sangat', 'ribet', 'dan', 'tidak', 'bersahabat', 'dengan', 'lampu', 'indikator', 'merah', 'ya']","['baca', 'mobile', 'ribet', 'bersahabat', 'lampu', 'indikator', 'merah', 'ya']",baca mobile ribet sahabat lampu indikator merah ya,Positif
2025-01-17 12:35:33,Eni Ermawati,5,Berguna sekali,Berguna sekali,berguna sekali,berguna sekali,"['berguna', 'sekali']",['berguna'],guna,Negatif
2025-01-17 12:21:59,Dimas Sumawe,1,Kenapa nih BCA mobile ga bisa login menggunakan sinyal wifi,Kenapa nih BCA mobile ga bisa login menggunakan sinyal wifi,kenapa nih bca mobile ga bisa login menggunakan sinyal wifi,kenapa nih baca mobile tidak bisa login menggunakan sinyal wifi,"['kenapa', 'nih', 'baca', 'mobile', 'tidak', 'bisa', 'login', 'menggunakan', 'sinyal', 'wifi']","['nih', 'baca', 'mobile', 'login', 'sinyal', 'wifi']",nih baca mobile login sinyal wifi,Negatif
2025-01-17 12:17:17,Cece Syahbana,1,lama kali ngangkat telfon mau daftar bank bca cuihhh,lama kali ngangkat telfon mau daftar bank bca cuihhh,lama kali ngangkat telfon mau daftar bank bca cuihhh,lama kali ngangkat telfon mau daftar bank baca cuihhh,"['lama', 'kali', 'ngangkat', 'telfon', 'mau', 'daftar', 'bank', 'baca', 'cuihhh']","['kali', 'ngangkat', 'telfon', 'daftar', 'bank', 'baca', 'cuihhh']",kali ngangkat telfon daftar bank baca cuihhh,Negatif
2025-01-17 12:10:46,siahQ ahmad jaidan,5,sangat bagus,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus,Positif
2025-01-17 10:27:36,YantoRoger roger,5,"Opsional baik,",Opsional baik,opsional baik,opsional baik,"['opsional', 'baik']",['opsional'],opsional,Negatif
2025-01-17 10:25:28,prabowo khristiyono,1,Tidak bisa di instal aplikasi,Tidak bisa di instal aplikasi,tidak bisa di instal aplikasi,tidak bisa di instal aplikasi,"['tidak', 'bisa', 'di', 'instal', 'aplikasi']","['instal', 'aplikasi']",instal aplikasi,Negatif
